lat,lon,bonitet,zone
57.875,40.273,69,sandy
56.654,38.56,68,alluvial
58.472,39.031,48,peat
57.772,40.436,64,sandy
58.395,38.294,42,peat
56.914,39.243,63,loam
57.55,40.362,61,sandy
58.133,40.687,48,peat
58.252,39.001,45,peat
58.004,38.282,48,peat
58.395,39.008,45,peat
56.613,38.626,68,alluvial
56.83,38.445,71,alluvial
58.434,38.05,50,peat
58.386,40.007,48,peat
58.57,37.76,45,peat
57.323,39.923,68,loam
57.502,40.33,64,sandy
58.46,37.932,50,peat
57.865,40.452,66,sandy
58.341,38.169,48,peat
57.791,37.864,68,alluvial
57.205,38.744,68,alluvial
57.389,39.937,63,loam
58.238,40.24,49,peat
57.843,39.69,58,loam
57.922,38.405,68,alluvial
58.403,38.043,44,peat
58.171,40.481,60,peat
58.434,38.49,52,peat
57.557,39.164,68,loam
58.472,40.484,44,peat
58.847,39.229,48,peat
58.376,38.836,52,peat
58.795,39.189,48,peat
57.165,38.246,73,alluvial
57.397,39.93,63,loam
58.297,39.417,48,peat
57.851,40.163,64,sandy
57.411,39.582,63,loam
57.182,39.995,56,loam
57.643,40.099,66,sandy
57.32,38.922,73,alluvial
57.757,39.388,60,loam
58.427,38.118,52,peat
58.039,37.905,48,peat
57.898,38.682,73,alluvial
58.341,37.84,48,peat
58.541,37.903,49,peat
57.71,39.625,58,loam
58.799,39.238,49,peat
57.065,39.012,68,loam
57.71,38.936,68,alluvial
58.154,39.611,48,peat
58.931,39.189,49,peat
57.913,38.28,68,alluvial
56.622,38.662,78,alluvial
58.835,39.431,44,peat
57.289,38.911,73,alluvial
58.276,39.401,49,peat
58.154,40.323,44,peat
57.992,39.711,70,loam
57.105,39.356,71,loam
57.93,37.462,68,alluvial
57.746,39.342,63,loam
58.247,39.128,49,peat
56.959,38.434,66,alluvial
58.928,39.121,48,peat
57.249,40.063,61,sandy
58.926,39.225,44,peat
57.717,39.236,68,loam
57.889,38.913,61,alluvial
58.195,39.654,48,peat
56.646,38.689,61,alluvial
56.646,38.687,61,alluvial
57.863,37.713,73,alluvial
57.268,39.017,56,loam
58.032,39.794,53,peat
57.76,38.631,75,alluvial
57.557,39.04,61,loam
57.908,39.765,65,loam
58.297,39.964,53,peat
58.486,40.402,48,peat
58.197,38.569,48,peat
57.37,39.272,73,loam
57.583,38.536,73,alluvial
57.903,38.088,68,alluvial
57.585,38.488,73,alluvial
57.502,38.958,68,alluvial
56.57,38.633,68,alluvial
57.205,40.194,66,sandy
57.748,40.416,69,sandy
56.95,39.069,61,loam
56.988,39.356,73,loam
57.791,38.518,78,alluvial
57.891,40.278,66,sandy
58.415,40.61,48,peat
58.352,39.571,48,peat
57.977,38.969,68,alluvial
57.839,40.445,61,sandy
56.613,38.893,75,alluvial
58.501,37.898,48,peat
58.904,39.369,45,peat
57.198,39.381,73,loam
57.92,40.673,61,sandy
57.399,38.741,73,alluvial
58.307,37.722,49,peat
58.14,38.319,48,peat
58.62,38.099,44,peat
58.345,41.11,68,loam
58.173,39.577,53,peat
57.884,38.325,73,alluvial
58.135,40.481,44,peat
58.438,40.163,49,peat
57.545,38.784,73,alluvial
57.748,37.763,73,alluvial
58.486,38.576,44,peat
58.577,39.666,48,peat
57.49,38.927,73,alluvial
57.191,39.41,63,loam
57.631,38.529,71,alluvial
58.032,38.056,48,peat
57.122,39.492,73,loam
57.848,38.312,73,alluvial
58.309,38.452,50,peat
57.311,38.436,73,alluvial
58.223,40.375,52,peat
57.012,38.791,71,alluvial
58.228,38.621,46,peat
58.391,39.559,44,peat
57.93,38.264,68,alluvial
57.977,38.649,73,alluvial
58.546,39.573,53,peat
58.642,38.344,46,peat
57.848,39.711,58,loam
57.16,39.433,73,loam
58.45,40.999,53,peat
57.746,40.615,61,sandy
57.01,38.981,71,alluvial
57.229,38.786,73,alluvial
56.976,39.046,68,loam
58.02,38.475,48,peat
58.656,38.732,48,peat
58.271,37.663,48,peat
57.444,39.69,65,loam
58.642,38.753,48,peat
58.324,38.522,46,peat
57.287,39.634,66,loam
58.097,40.269,44,peat
57.349,38.913,73,alluvial
58.324,40.551,52,peat
57.411,40.296,61,sandy
58.319,38.181,48,peat
56.806,39.41,56,loam
58.477,38.151,48,peat
58.46,40.079,52,peat
58.173,38.0,49,peat
58.066,38.278,48,peat
57.867,38.664,68,alluvial
58.919,39.304,48,peat
57.817,39.831,63,loam
58.441,39.112,48,peat
58.09,38.258,48,peat
57.272,40.443,66,sandy
58.369,38.025,46,peat
56.983,38.807,61,alluvial
57.953,38.183,73,alluvial
57.232,40.267,69,sandy
58.632,39.153,49,peat
58.386,40.438,44,peat
57.533,39.089,66,loam
57.973,39.559,60,loam
57.409,39.241,56,loam
58.109,38.531,44,peat
57.628,39.989,73,loam
57.738,38.251,68,alluvial
58.508,39.503,49,peat
58.646,38.251,52,peat
57.253,38.371,71,alluvial
56.873,39.272,51,loam
58.472,40.061,49,peat
58.195,39.11,48,peat
56.885,38.389,71,alluvial
57.602,38.536,73,alluvial
58.57,37.756,45,peat
58.202,40.68,52,peat
57.093,38.832,73,alluvial
57.351,38.531,68,alluvial
58.384,40.608,48,peat
57.841,37.473,78,alluvial
57.944,37.973,73,alluvial
57.719,38.24,78,alluvial
58.419,37.955,50,peat
57.389,38.249,71,alluvial
58.708,38.662,48,peat
58.625,39.209,49,peat
57.315,38.398,73,alluvial
58.458,38.992,44,peat
57.817,39.015,70,loam
57.693,37.794,73,alluvial
56.694,38.576,66,alluvial
57.308,39.611,63,loam
58.761,39.507,49,peat
57.227,38.4,73,alluvial
58.214,39.772,49,peat
57.865,40.438,61,sandy
58.159,40.373,48,peat
57.953,39.697,65,loam
57.59,40.016,66,sandy
57.977,38.748,78,alluvial
57.246,39.989,58,loam
56.749,39.096,71,loam
58.544,38.712,44,peat
57.987,40.522,66,sandy
57.466,39.284,61,loam
58.618,38.249,44,peat
57.681,38.518,73,alluvial
58.037,37.977,52,peat
57.908,39.699,68,loam
58.018,39.318,45,peat
57.75,39.824,70,loam
57.808,39.916,63,loam
57.956,37.654,73,alluvial
57.922,39.399,48,loam
57.062,38.96,71,alluvial
58.056,38.899,48,peat
56.728,38.524,76,alluvial
56.847,38.251,66,alluvial
58.422,40.425,48,peat
57.93,40.432,61,sandy
58.118,40.063,48,peat
57.356,38.149,71,alluvial
57.375,38.671,68,alluvial
58.422,38.911,49,peat
57.557,38.086,68,alluvial
58.209,40.366,48,peat
57.719,38.701,73,alluvial
58.496,38.197,52,peat
58.243,38.827,45,peat
57.796,39.742,60,loam
57.784,38.226,68,alluvial
57.674,38.156,73,alluvial
58.286,39.202,48,peat
57.134,39.749,68,loam
57.282,38.969,68,alluvial
58.632,39.501,53,peat
58.756,39.627,48,peat
57.946,38.429,68,alluvial
57.944,40.527,66,sandy
56.983,39.234,66,loam
58.357,37.668,44,peat
57.151,38.823,71,alluvial
57.01,38.409,73,alluvial
58.039,38.104,53,peat
58.599,39.121,49,peat
56.673,38.988,78,alluvial
58.644,39.794,49,peat
58.271,40.273,48,peat
56.654,38.985,78,alluvial
57.961,40.574,66,sandy
56.845,38.285,71,alluvial
57.466,39.141,70,loam
58.589,39.769,49,peat
58.393,38.951,49,peat
58.723,39.247,44,peat
58.489,38.108,49,peat
58.536,40.646,48,peat
57.741,38.73,73,alluvial
58.338,39.078,48,peat
58.627,38.802,44,peat
58.682,39.299,44,peat
58.283,39.722,48,peat
58.257,38.829,44,peat
57.368,39.72,75,loam
58.293,39.182,49,peat
57.251,39.331,71,loam
58.283,40.262,49,peat
57.932,38.884,73,alluvial
58.051,37.652,48,peat
56.615,38.931,63,alluvial
58.102,40.484,52,peat
58.639,38.644,48,peat
57.002,39.318,68,loam
58.673,38.642,44,peat
57.141,38.782,71,alluvial
57.805,39.256,60,loam
58.147,40.689,52,peat
57.253,39.096,75,loam
56.799,38.85,71,alluvial
57.946,38.73,68,alluvial
57.741,40.228,66,sandy
58.682,38.852,48,peat
57.062,39.306,68,loam
57.762,38.746,73,alluvial
58.2,39.25,48,peat
58.094,38.07,48,peat
57.511,38.92,73,alluvial
58.128,40.314,49,peat
58.355,40.479,48,peat
56.591,39.01,63,loam
58.078,39.593,53,peat
58.816,39.037,52,peat
58.41,38.206,46,peat
58.895,39.134,48,peat
57.683,40.359,69,sandy
58.465,39.157,52,peat
57.769,37.833,68,alluvial
58.087,40.036,45,peat
57.057,38.542,68,alluvial
57.418,39.173,68,loam
57.557,40.14,66,sandy
58.477,39.774,48,peat
57.616,37.876,73,alluvial
58.675,40.011,49,peat
58.563,38.319,48,peat
57.683,40.118,61,sandy
58.484,38.375,49,peat
57.308,38.687,73,alluvial
58.324,40.122,48,peat
58.881,39.284,48,peat
58.259,38.425,44,peat
57.853,37.957,73,alluvial
58.584,38.45,50,peat
58.754,39.41,53,peat
56.73,39.049,66,loam
58.646,37.989,48,peat
57.903,39.749,63,loam
58.164,38.106,48,peat
58.472,40.771,48,peat
57.667,39.733,68,loam
57.272,40.425,66,sandy
58.355,39.214,44,peat
56.916,39.207,56,loam
57.117,39.351,71,loam
57.703,38.05,78,alluvial
58.104,38.829,53,peat
58.912,39.247,45,peat
56.878,38.958,71,alluvial
57.839,38.875,68,alluvial
57.141,39.232,70,loam
57.863,39.462,75,loam
58.584,38.583,50,peat
57.705,39.876,65,loam
58.14,38.685,56,peat
56.902,38.384,68,alluvial
57.449,38.386,73,alluvial
58.195,38.416,46,peat
57.628,38.344,73,alluvial
57.249,39.385,71,loam
58.319,37.862,48,peat
58.247,38.371,48,peat
57.28,39.266,73,loam
58.307,40.692,48,peat
57.616,38.197,73,alluvial
58.254,38.075,44,peat
57.502,39.417,63,loam
57.299,38.434,71,alluvial
57.843,38.02,73,alluvial
58.049,40.179,48,peat
57.557,38.904,68,alluvial
57.01,39.015,66,loam
58.529,39.27,49,peat
57.724,38.341,73,alluvial
57.87,39.672,68,loam
57.292,38.475,73,alluvial
58.434,40.271,49,peat
57.746,37.998,78,alluvial
58.338,39.085,49,peat
56.747,39.372,56,loam
57.624,39.663,70,loam
57.444,39.754,63,loam
57.526,38.927,71,alluvial
58.02,39.912,48,peat
57.882,39.345,65,loam
56.854,39.408,63,loam
58.14,38.237,48,peat
58.164,37.991,48,peat
57.019,38.719,73,alluvial
57.932,40.612,66,sandy
56.706,39.254,61,loam
58.436,39.39,49,peat
57.875,40.468,66,sandy
57.626,39.04,61,loam
57.165,39.08,61,loam
58.508,40.628,48,peat
57.851,38.108,73,alluvial
58.568,39.65,48,peat
58.792,39.421,49,peat
58.011,40.66,48,peat
57.877,38.924,66,alluvial
58.627,39.27,44,peat
58.259,39.564,48,peat
57.875,40.282,69,sandy
58.114,39.263,48,peat
57.765,39.381,65,loam
57.585,37.932,78,alluvial
58.367,40.798,48,peat
58.489,40.375,48,peat
58.481,39.25,44,peat
57.356,38.913,73,alluvial
58.611,39.851,49,peat
57.619,39.944,68,loam
57.633,39.295,70,loam
57.067,39.498,66,loam
58.333,40.527,52,peat
57.447,38.786,68,alluvial
57.774,40.438,64,sandy
58.345,40.097,48,peat
57.829,37.501,68,alluvial
57.461,38.755,73,alluvial
57.526,39.356,65,loam
57.829,40.515,69,sandy
57.578,39.711,75,loam
58.066,38.373,52,peat
58.202,39.656,48,peat
58.606,38.068,52,peat
56.692,39.297,76,loam
57.444,38.056,71,alluvial
58.761,39.835,44,peat
56.849,38.285,66,alluvial
57.846,37.715,68,alluvial
58.097,37.763,46,peat
57.832,40.099,69,sandy
56.742,39.207,66,loam
57.151,38.334,71,alluvial
58.166,37.937,53,peat
58.09,39.04,44,peat
56.883,38.979,66,alluvial
56.608,38.786,75,alluvial
58.584,39.134,49,peat
57.49,38.199,71,alluvial
58.415,41.015,65,loam
57.239,39.564,73,loam
58.09,38.395,52,peat
57.805,40.106,69,sandy
57.203,38.301,71,alluvial
57.949,39.428,58,loam
58.79,39.173,48,peat
58.135,40.825,44,peat
57.516,38.063,66,alluvial
57.996,39.521,70,loam
56.849,38.569,61,alluvial
57.92,39.324,65,loam
58.627,39.715,49,peat
58.09,37.932,48,peat
56.72,38.522,78,alluvial
57.867,40.466,56,sandy
56.663,38.529,66,alluvial
58.178,38.12,48,peat
58.553,38.748,44,peat
58.297,38.766,49,peat
57.392,40.174,61,sandy
57.867,40.42,61,sandy
58.219,39.238,49,peat
57.908,40.014,69,sandy
57.648,40.111,61,sandy
58.094,38.619,48,peat
58.211,38.963,49,peat
58.03,40.158,49,peat
58.044,37.962,48,peat
58.395,40.938,48,peat
57.196,39.568,66,loam
58.006,40.138,48,peat
58.099,39.873,53,peat
58.446,39.306,44,peat
57.855,39.889,70,loam
57.693,40.19,66,sandy
58.035,40.061,49,peat
57.476,38.861,66,alluvial
57.241,39.962,56,loam
57.11,39.571,68,loam
58.732,39.331,52,peat
56.83,38.303,71,alluvial
58.178,38.906,56,peat
57.753,39.675,70,loam
