lat,lon,bonitet,лён,картофель,овёс,рожь,пшеница
58.393,40.886,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.41,39.157,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.136,39.794,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.583,39.092,63,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.916,39.354,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.424,40.68,49,непригодная,непригодная,непригодная,непригодная,непригодная
57.75,38.072,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.119,39.532,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.951,38.545,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.711,38.42,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.233,37.821,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.004,39.528,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.238,37.419,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.701,38.16,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.333,39.928,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.541,40.009,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.74,39.614,53,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.458,39.876,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.906,38.678,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
56.625,38.757,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.306,38.47,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.082,37.941,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.698,37.982,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.731,38.513,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.523,39.937,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
56.596,38.762,63,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.275,38.958,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
56.9,39.234,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.235,38.063,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.811,39.252,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.333,37.91,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.789,37.618,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,ограниченно пригодная
57.8,38.807,70,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.545,39.218,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.707,40.296,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
57.361,39.819,58,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.032,38.434,50,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.24,39.652,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.418,38.567,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.524,40.676,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.161,37.774,56,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.246,40.115,64,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.927,40.267,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.934,38.581,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.27,39.792,63,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.044,39.431,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.094,37.873,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.735,39.354,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.436,37.797,50,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.75,38.097,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.245,40.712,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.309,38.61,50,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.192,38.764,48,непригодная,непригодная,непригодная,ограниченно пригодная,непригодная
57.76,40.294,69,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.395,39.254,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.124,39.882,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.191,38.99,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.516,39.783,58,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.413,39.919,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.319,40.147,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.547,40.357,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.427,39.363,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.791,39.58,60,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.356,38.165,71,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
56.83,38.694,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,ограниченно пригодная
57.977,38.748,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.791,39.173,70,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.817,40.346,61,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.587,38.346,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.33,40.364,69,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.372,40.325,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.521,38.059,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.765,39.153,70,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.401,39.189,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.385,38.529,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.768,39.537,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.671,38.077,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
58.147,39.173,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.207,39.123,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
56.708,38.651,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.504,38.906,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.084,38.522,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.694,38.832,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.157,39.892,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.134,39.546,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
58.054,38.513,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.769,39.525,70,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.486,37.984,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.198,39.049,63,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.832,38.696,76,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.314,39.268,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.565,39.986,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
56.847,38.798,68,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.982,37.937,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.173,40.208,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.448,38.145,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.554,38.366,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.704,38.805,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.434,38.843,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.146,38.364,73,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.075,37.975,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.675,40.016,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.973,40.181,69,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.075,40.07,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.784,40.066,64,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.677,38.581,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.507,39.236,60,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.039,38.341,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.221,38.753,46,непригодная,непригодная,непригодная,ограниченно пригодная,непригодная
57.836,40.603,69,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.608,38.893,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.53,39.855,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.503,39.087,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.861,39.659,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.339,39.123,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.763,38.382,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.918,40.179,51,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.441,40.782,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.579,38.348,50,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.781,38.481,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.484,39.033,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.472,38.16,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.157,39.193,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
56.799,38.597,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.523,39.568,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная
57.891,39.93,70,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.737,39.831,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.458,39.801,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.73,39.598,52,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.173,38.786,46,непригодная,непригодная,непригодная,ограниченно пригодная,непригодная
57.502,39.27,63,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.139,38.809,71,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.449,39.659,63,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.333,39.388,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.779,38.676,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.382,39.713,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.385,39.223,56,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.432,38.786,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.341,40.829,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.6,39.729,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная
57.502,37.932,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.333,40.115,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
56.761,38.527,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.934,39.164,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.607,38.759,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
56.976,39.046,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.961,38.563,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.908,39.354,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.649,39.096,58,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.645,38.443,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.486,38.825,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.577,38.96,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.219,37.982,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.798,39.017,56,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.529,39.708,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
56.935,39.372,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.227,38.574,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.624,39.58,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.035,39.932,45,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.496,37.941,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.216,37.625,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.594,39.498,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.341,38.576,48,непригодная,непригодная,непригодная,ограниченно пригодная,непригодная
58.262,38.348,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.959,39.55,63,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.718,39.22,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.848,38.807,70,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.748,38.479,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.277,38.696,75,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.269,39.293,45,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.891,38.339,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.654,38.811,49,непригодная,непригодная,непригодная,непригодная,непригодная
58.192,40.389,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.157,40.282,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.056,40.445,56,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.676,38.475,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.824,39.455,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.237,39.342,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.318,39.272,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.654,39.037,49,непригодная,непригодная,непригодная,непригодная,непригодная
57.836,38.429,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.104,39.684,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.11,38.692,68,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.14,37.892,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
58.364,39.894,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.203,39.033,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.769,40.133,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.855,38.423,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.64,39.383,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.663,39.288,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
